location,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Afghanistan,18.6,2.581,1.337,1803.987,597.029,9.59,,,37.746,64.83,0.511
Africa,,,,,,,,,,,
Albania,38.0,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,,78.57,0.795
Algeria,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,83.741,76.88,0.748
Andorra,,,,,109.135,7.97,29.0,37.8,,83.73,0.868
Angola,16.8,2.405,1.362,5819.495,276.045,3.94,,,26.664,61.15,0.581
Anguilla,,,,,,,,,,81.88,
Antigua and Barbuda,32.1,6.933,4.631,21490.943,191.511,13.17,,,,77.02,0.778
Argentina,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,,76.67,0.845
Armenia,35.7,11.232,7.571,8787.58,341.01,7.11,1.5,52.1,94.043,75.09,0.776
Aruba,41.2,13.085,7.452,35973.781,,11.62,,,,76.29,
Asia,,,,,,,,,,,
Australia,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,,83.44,0.944
Austria,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,,81.54,0.922
Azerbaijan,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,73.0,0.756
Bahamas,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,,73.92,0.814
Bahrain,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,,77.29,0.852
Bangladesh,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,34.808,72.59,0.632
Barbados,39.8,14.952,9.473,16978.068,170.05,13.57,1.9,14.5,88.469,79.19,0.814
Belarus,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,,74.79,0.823
Belgium,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,,81.63,0.931
Belize,25.0,3.853,2.279,7824.362,176.957,17.11,,,90.083,74.62,0.716
Benin,18.8,3.244,1.942,2064.236,235.848,0.99,0.6,12.3,11.035,61.77,0.545
Bermuda,,,,50669.315,139.547,13.0,,,,82.59,
Bhutan,28.6,4.885,2.977,8708.597,217.066,9.75,,,79.807,71.78,0.654
Bolivia,25.4,6.704,4.393,6885.829,204.299,6.89,,,25.383,71.51,0.718
Bosnia and Herzegovina,42.5,16.569,10.711,11713.895,329.635,10.08,30.2,47.7,97.164,77.4,0.78
Botswana,25.8,3.941,2.242,15807.374,237.372,4.81,5.7,34.4,,69.59,0.735
Brazil,33.5,8.552,5.06,14103.452,177.961,8.11,10.1,17.9,,75.88,0.765
Brunei,32.4,4.591,2.382,71809.251,201.285,12.79,2.0,30.9,,75.86,0.838
Bulgaria,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,,75.05,0.816
Burkina Faso,17.6,2.409,1.358,1703.102,269.048,2.42,1.6,23.9,11.877,61.58,0.452
Burundi,17.5,2.562,1.504,702.225,293.068,6.05,,,6.144,61.58,0.433
Cambodia,25.6,4.412,2.385,3645.07,270.892,4.0,2.0,33.7,66.229,69.82,0.594
Cameroon,18.8,3.165,1.919,3364.926,244.661,7.2,,,2.735,59.29,0.563
Canada,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,,82.43,0.929
Cape Verde,25.7,4.46,3.437,6222.554,182.219,2.42,2.1,16.5,,72.98,0.665
Cayman Islands,,,,49903.029,,13.22,,,,83.92,
Central African Republic,18.3,3.655,2.251,661.24,435.727,6.1,,,16.603,53.28,0.397
Chad,16.7,2.486,1.446,1768.153,280.995,6.1,,,5.818,54.24,0.398
Chile,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,,80.18,0.851
China,38.7,10.641,5.929,15308.712,261.899,9.74,1.9,48.4,,76.91,0.761
Colombia,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,65.386,77.29,0.767
Comoros,20.4,2.963,1.726,1413.89,261.516,11.88,4.4,23.6,15.574,64.32,0.554
Congo,19.0,3.402,2.063,4881.406,344.094,7.2,1.7,52.3,47.964,64.57,0.574
Costa Rica,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,83.841,80.28,0.81
Cote d'Ivoire,18.7,2.933,1.582,3601.006,303.74,2.42,,,19.351,57.78,0.538
Croatia,44.0,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,,78.49,0.851
Cuba,43.1,14.738,9.719,,190.968,8.27,17.1,53.3,85.198,78.8,0.783
Curacao,41.7,16.367,10.068,,,11.62,,,,78.88,
Cyprus,37.3,13.416,8.563,32415.132,141.171,9.24,19.6,52.7,,80.98,0.887
Czechia,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,,79.38,0.9
Democratic Republic of Congo,17.0,3.02,1.745,808.133,318.949,6.1,,,4.472,60.68,0.48
Denmark,42.3,19.677,12.325,46682.515,114.767,6.41,19.3,18.8,,80.9,0.94
Djibouti,25.4,4.213,2.38,2705.406,258.037,6.05,1.7,24.5,,67.11,0.524
Dominica,,,,9673.367,227.376,11.62,,,,75.0,0.742
Dominican Republic,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,55.182,74.08,0.756
Ecuador,28.1,7.104,4.458,10581.936,140.448,5.55,2.0,12.3,80.635,77.01,0.759
Egypt,25.3,5.159,2.891,10550.206,525.432,17.31,0.2,50.1,89.827,71.99,0.707
El Salvador,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,90.65,73.32,0.673
Equatorial Guinea,22.4,2.846,1.752,22604.873,202.812,7.78,,,24.64,58.74,0.592
Eritrea,19.3,3.607,2.171,1510.459,311.11,6.05,0.2,11.4,,66.32,0.459
Estonia,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,,78.74,0.892
Eswatini,21.5,3.163,1.845,7738.975,333.436,3.94,1.7,16.5,24.097,60.19,0.611
Ethiopia,19.8,3.526,2.063,1729.927,182.634,7.47,0.4,8.5,7.96,66.6,0.485
Europe,,,,,,,,,,,
European Union,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,80.67,
Falkland Islands,,,,,,,,,,81.44,
Fiji,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,,67.44,0.743
Finland,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,,81.91,0.938
France,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,,82.66,0.901
Gabon,23.1,4.45,2.976,16562.413,259.967,7.2,,,,66.47,0.703
Gambia,17.5,2.339,1.417,1561.767,331.43,1.91,0.7,31.2,7.876,62.05,0.496
Georgia,38.7,14.864,10.244,9745.079,496.218,7.11,5.3,55.5,,73.77,0.812
Germany,46.6,21.453,15.957,45229.245,156.139,8.31,28.2,33.1,,81.33,0.947
Ghana,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,41.047,64.07,0.611
Gibraltar,,,,,,,,,,79.93,
Greece,45.3,20.396,14.524,24574.382,175.695,4.55,35.3,52.0,,82.24,0.888
Greenland,,,,,199.941,2.16,,,,71.7,
Grenada,29.4,7.304,5.021,13593.877,243.964,10.71,,,,72.4,0.779
Guatemala,22.9,4.694,3.016,7423.808,155.898,10.18,,,76.665,74.3,0.663
Guernsey,,,,,,,,,,,
Guinea,19.0,3.135,1.733,1998.926,336.717,2.42,,,17.45,61.6,0.477
Guinea-Bissau,19.4,3.002,1.565,1548.675,382.474,2.42,,,6.403,58.32,0.48
Guyana,26.3,5.305,2.837,7435.047,373.159,11.62,,,77.159,69.91,0.682
Haiti,24.3,4.8,2.954,1653.173,430.548,6.65,2.9,23.1,22.863,64.0,0.51
Honduras,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,,84.169,75.27,0.634
Hong Kong,44.8,16.303,10.158,56054.92,,8.33,,,,84.86,0.949
Hungary,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,,76.88,0.854
Iceland,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,,82.99,0.949
India,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,59.55,69.66,0.645
Indonesia,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,64.204,71.72,0.718
International,,,,,,,,,,,
Iran,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,,76.68,0.783
Iraq,20.0,3.186,1.957,15663.986,218.612,8.83,,,94.576,70.6,0.674
Ireland,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,,82.3,0.955
Isle of Man,,,,,,,,,,81.4,
Israel,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,,82.97,0.919
Italy,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,,83.51,0.892
Jamaica,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,66.425,74.47,0.734
Japan,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,,84.63,0.919
Jersey,,,,,,,,,,,
Jordan,23.2,3.81,2.361,8337.49,208.257,11.75,,,,74.53,0.729
Kazakhstan,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,98.999,73.6,0.825
Kenya,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,24.651,66.7,0.601
Kosovo,,,,9795.834,,,,,,,
Kuwait,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,,75.49,0.806
Kyrgyzstan,26.3,4.489,2.882,3393.474,436.362,7.11,3.6,50.5,89.22,71.45,0.697
Laos,24.4,4.029,2.322,6397.36,368.111,4.0,7.3,51.2,49.839,67.92,0.613
Latvia,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,,75.29,0.866
Lebanon,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,,78.93,0.744
Lesotho,22.2,4.506,2.647,2851.153,405.126,3.94,0.4,53.9,2.117,54.33,0.527
Liberia,19.2,3.057,1.756,752.788,272.509,2.42,1.5,18.1,1.188,64.1,0.48
Libya,29.0,4.424,2.816,17881.509,341.862,10.43,,,,72.91,0.724
Liechtenstein,,,,,,7.77,,,,82.49,0.919
Lithuania,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,,75.93,0.882
Luxembourg,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,,82.25,0.916
Macao,39.2,9.798,4.991,104861.851,,,,,,84.24,
Madagascar,19.6,2.929,1.686,1416.44,405.994,3.94,,,50.54,67.04,0.528
