location,week,new_cases,stringency_index,total_deaths,population,total_tests
Albania,2020-03-09,42.0,81.48,1.0,2877800.0,532.0
Albania,2020-03-16,47.0,81.48,2.0,2877800.0,811.0
Albania,2020-03-23,123.0,84.26,10.0,2877800.0,1317.0
Albania,2020-03-30,149.0,84.26,20.0,2877800.0,2277.0
Albania,2020-04-06,85.0,84.26,23.0,2877800.0,3758.0
Albania,2020-04-13,116.0,89.81,26.0,2877800.0,5423.0
Albania,2020-04-20,164.0,89.81,28.0,2877800.0,7160.0
Albania,2020-04-27,69.0,89.81,31.0,2877800.0,8747.0
Albania,2020-05-04,73.0,89.81,31.0,2877800.0,10319.0
Albania,2020-05-11,78.0,89.81,31.0,2877800.0,11905.0
Albania,2020-05-18,52.0,83.33,32.0,2877800.0,13160.0
Albania,2020-05-25,139.0,86.11,33.0,2877800.0,14604.0
Albania,2020-06-01,109.0,71.3,34.0,2877800.0,16136.0
Albania,2020-06-08,275.0,71.3,36.0,2877800.0,18131.0
Albania,2020-06-15,441.0,71.3,44.0,2877800.0,20404.0
Albania,2020-06-22,440.0,68.52,55.0,2877800.0,22793.0
Albania,2020-06-29,491.0,68.52,76.0,2877800.0,25302.0
Albania,2020-07-06,561.0,62.96,93.0,2877800.0,28228.0
Albania,2020-07-13,636.0,62.96,112.0,2877800.0,31313.0
Albania,2020-07-20,673.0,62.96,138.0,2877800.0,34407.0
Albania,2020-07-27,756.0,62.96,166.0,2877800.0,37907.0
Albania,2020-08-03,892.0,62.96,199.0,2877800.0,41666.0
Albania,2020-08-10,969.0,57.41,228.0,2877800.0,45958.0
Albania,2020-08-17,1047.0,57.41,250.0,2877800.0,51588.0
Albania,2020-08-24,953.0,57.41,280.0,2877800.0,57548.0
Albania,2020-08-31,875.0,54.63,316.0,2877800.0,63435.0
Albania,2020-09-07,1098.0,54.63,334.0,2877800.0,69435.0
Albania,2020-09-14,1032.0,54.63,362.0,2877800.0,75261.0
Albania,2020-09-21,874.0,54.63,377.0,2877800.0,81085.0
Albania,2020-09-28,1007.0,54.63,396.0,2877800.0,87640.0
Albania,2020-10-05,1133.0,54.63,420.0,2877800.0,94177.0
Albania,2020-10-12,1656.0,54.63,451.0,2877800.0,102900.0
Albania,2020-10-19,2102.0,54.63,477.0,2877800.0,112556.0
Albania,2020-10-26,2045.0,54.63,518.0,2877800.0,122223.0
Albania,2020-11-02,3004.0,50.93,559.0,2877800.0,134645.0
Albania,2020-11-09,3624.0,65.74,623.0,2877800.0,147986.0
Albania,2020-11-16,4931.0,65.74,699.0,2877800.0,162245.0
Albania,2020-11-23,4864.0,65.74,798.0,2877800.0,175190.0
Albania,2020-11-30,5363.0,65.74,905.0,2877800.0,188624.0
Albania,2020-12-07,5542.0,65.74,1003.0,2877800.0,206292.0
Albania,2020-12-14,4473.0,65.74,1088.0,2877800.0,223331.0
Albania,2020-12-21,3251.0,60.19,1153.0,2877800.0,238305.0
Albania,2020-12-28,3184.0,56.48,1193.0,2877800.0,252718.0
Albania,2021-01-04,4157.0,56.48,1241.0,2877800.0,276420.0
Albania,2021-01-11,4095.0,60.19,1277.0,2877800.0,297804.0
Albania,2021-01-18,4584.0,60.19,1315.0,2877800.0,319414.0
Albania,2021-01-25,5853.0,60.19,1380.0,2877800.0,343109.0
Albania,2021-02-01,7209.0,60.19,1460.0,2877800.0,366557.0
Albania,2021-02-08,7739.0,60.19,1555.0,2877800.0,394640.0
Albania,2021-02-15,7171.0,60.19,1666.0,2877800.0,418154.0
Albania,2021-02-22,6921.0,60.19,1796.0,2877800.0,444449.0
Albania,2021-03-01,5730.0,60.19,1939.0,2877800.0,466800.0
Albania,2021-03-08,4577.0,60.19,2045.0,2877800.0,488739.0
Albania,2021-03-15,3726.0,60.19,2137.0,2877800.0,510460.0
Albania,2021-03-22,2934.0,60.19,2210.0,2877800.0,528971.0
Albania,2021-03-29,2397.0,60.19,2265.0,2877800.0,548412.0
Albania,2021-04-05,1862.0,60.19,2317.0,2877800.0,567392.0
Albania,2021-04-12,1201.0,54.63,2342.0,2877800.0,585473.0
Albania,2021-04-19,943.0,54.63,2378.0,2877800.0,604774.0
Albania,2021-04-26,701.0,54.63,2397.0,2877800.0,620249.0
Albania,2021-05-03,485.0,63.89,2412.0,2877800.0,629675.0
Andorra,2020-11-02,558.0,59.26,75.0,77265.0,85772.0
Andorra,2020-11-09,489.0,59.26,76.0,77265.0,92183.0
Andorra,2020-11-16,384.0,59.26,76.0,77265.0,97416.0
Andorra,2021-01-04,394.0,52.78,85.0,77265.0,127577.0
Andorra,2021-01-11,497.0,52.78,91.0,77265.0,130657.0
Andorra,2021-01-18,466.0,52.78,96.0,77265.0,134259.0
Andorra,2021-01-25,388.0,55.56,101.0,77265.0,140701.0
Andorra,2021-02-01,314.0,55.56,106.0,77265.0,144933.0
Andorra,2021-02-08,252.0,55.56,107.0,77265.0,148604.0
Andorra,2021-02-15,196.0,55.56,107.0,77265.0,152578.0
Andorra,2021-02-22,167.0,55.56,110.0,77265.0,154962.0
Andorra,2021-03-01,176.0,55.56,112.0,77265.0,157356.0
Andorra,2021-03-08,224.0,55.56,113.0,77265.0,159725.0
Andorra,2021-03-15,251.0,55.56,113.0,77265.0,162071.0
Andorra,2021-03-22,333.0,55.56,115.0,77265.0,164665.0
Andorra,2021-03-29,381.0,52.78,117.0,77265.0,168244.0
Andorra,2021-04-05,314.0,52.78,120.0,77265.0,171485.0
Andorra,2021-04-12,260.0,52.78,123.0,77265.0,173789.0
Andorra,2021-04-19,255.0,52.78,124.0,77265.0,177079.0
Andorra,2021-04-26,222.0,65.74,127.0,77265.0,180633.0
Andorra,2021-05-03,141.0,65.74,127.0,77265.0,183476.0
Argentina,2020-03-02,12.0,11.11,1.0,45195777.0,592.0
Argentina,2020-03-09,33.0,25.0,2.0,45195777.0,941.0
Argentina,2020-03-16,221.0,88.89,4.0,45195777.0,2331.0
Argentina,2020-03-23,479.0,100.0,19.0,45195777.0,5856.0
Argentina,2020-03-30,706.0,100.0,44.0,45195777.0,13650.0
Argentina,2020-04-06,691.0,100.0,90.0,45195777.0,25189.0
Argentina,2020-04-13,697.0,100.0,132.0,45195777.0,39220.0
Argentina,2020-04-20,1053.0,100.0,192.0,45195777.0,56776.0
Argentina,2020-04-27,891.0,88.89,246.0,45195777.0,74754.0
Argentina,2020-05-04,1251.0,88.89,305.0,45195777.0,98792.0
Argentina,2020-05-11,2034.0,94.44,373.0,45195777.0,125290.0
Argentina,2020-05-18,4008.0,90.74,452.0,45195777.0,160732.0
Argentina,2020-05-25,4775.0,90.74,539.0,45195777.0,197438.0
Argentina,2020-06-01,5943.0,90.74,664.0,45195777.0,238101.0
Argentina,2020-06-08,8783.0,88.89,833.0,45195777.0,290191.0
Argentina,2020-06-15,11208.0,88.89,1011.0,45195777.0,349813.0
Argentina,2020-06-22,17148.0,88.89,1232.0,45195777.0,421580.0
Argentina,2020-06-29,17882.0,92.59,1507.0,45195777.0,496991.0
Argentina,2020-07-06,22351.0,92.59,1845.0,45195777.0,579581.0
Argentina,2020-07-13,26589.0,92.59,2260.0,45195777.0,678220.0
Argentina,2020-07-20,35771.0,90.74,2939.0,45195777.0,792338.0
Argentina,2020-07-27,39393.0,90.74,3648.0,45195777.0,917691.0
Argentina,2020-08-03,44580.0,88.89,4606.0,45195777.0,1059423.0
Argentina,2020-08-10,48070.0,87.96,5703.0,45195777.0,1212942.0
Argentina,2020-08-17,47585.0,87.96,6985.0,45195777.0,1355817.0
Argentina,2020-08-24,66272.0,87.96,8457.0,45195777.0,1524395.0
Argentina,2020-08-31,70366.0,87.96,9859.0,45195777.0,1696406.0
Argentina,2020-09-07,76745.0,87.96,11352.0,45195777.0,1883710.0
Argentina,2020-09-14,75828.0,87.96,13053.0,45195777.0,2067261.0
Argentina,2020-09-21,79960.0,87.96,15749.0,45195777.0,2246069.0
Argentina,2020-09-28,87161.0,87.96,21018.0,45195777.0,2430107.0
Argentina,2020-10-05,95720.0,87.96,23868.0,45195777.0,2614569.0
Argentina,2020-10-12,95474.0,82.87,26267.0,45195777.0,2793859.0
Argentina,2020-10-19,100909.0,82.87,28896.0,45195777.0,2981515.0
Argentina,2020-10-26,82944.0,81.94,31140.0,45195777.0,3147726.0
Argentina,2020-11-02,68649.0,81.94,33560.0,45195777.0,3300882.0
Argentina,2020-11-09,68309.0,79.17,35436.0,45195777.0,3446960.0
Argentina,2020-11-16,59875.0,79.17,37002.0,45195777.0,3588650.0
Argentina,2020-11-23,48441.0,79.17,38473.0,45195777.0,3712747.0
Argentina,2020-11-30,44303.0,79.17,39770.0,45195777.0,3845523.0
Argentina,2020-12-07,35050.0,79.17,40766.0,45195777.0,3966922.0
Argentina,2020-12-14,43125.0,79.17,41813.0,45195777.0,4132642.0
Argentina,2020-12-21,42012.0,79.17,42650.0,45195777.0,4286444.0
Argentina,2020-12-28,57421.0,79.17,43482.0,45195777.0,4475796.0
Argentina,2021-01-04,81499.0,79.17,44495.0,45195777.0,4737019.0
Argentina,2021-01-11,77026.0,79.17,45407.0,45195777.0,5010156.0
Argentina,2021-01-18,67980.0,79.17,46827.0,45195777.0,5270803.0
Argentina,2021-01-25,60016.0,79.17,47974.0,45195777.0,5534279.0
Argentina,2021-02-01,53108.0,79.17,49171.0,45195777.0,5792145.0
Argentina,2021-02-08,45451.0,79.17,50236.0,45195777.0,6038767.0
Argentina,2021-02-15,38536.0,79.17,51198.0,45195777.0,6283450.0
Argentina,2021-02-22,43031.0,77.31,51965.0,45195777.0,6517474.0
Argentina,2021-03-01,42271.0,77.31,52880.0,45195777.0,6724350.0
Argentina,2021-03-08,46086.0,71.76,53670.0,45195777.0,6939073.0
Argentina,2021-03-15,50049.0,71.76,54545.0,45195777.0,7160678.0
Argentina,2021-03-22,62826.0,71.76,55449.0,45195777.0,7401900.0
Argentina,2021-03-29,84895.0,71.76,56199.0,45195777.0,7675640.0
Argentina,2021-04-05,139070.0,77.31,57779.0,45195777.0,8027181.0
Argentina,2021-04-12,161452.0,77.31,59228.0,45195777.0,8335172.0
Argentina,2021-04-19,166870.0,77.31,61644.0,45195777.0,8611318.0
Argentina,2021-04-26,144375.0,77.31,64252.0,45195777.0,8844495.0
Argentina,2021-05-03,142481.0,84.26,67325.0,45195777.0,8951195.0
Australia,2020-03-16,1252.0,47.22,7.0,25499881.0,143056.0
Australia,2020-03-23,2435.0,71.3,16.0,25499881.0,211261.0
Australia,2020-03-30,1703.0,73.15,35.0,25499881.0,297154.0
Australia,2020-04-06,628.0,73.15,60.0,25499881.0,353941.0
Australia,2020-04-13,295.0,73.15,67.0,25499881.0,420996.0
Australia,2020-04-20,104.0,69.44,83.0,25499881.0,506449.0
Australia,2020-04-27,108.0,69.44,95.0,25499881.0,633107.0
Australia,2020-05-04,126.0,69.44,97.0,25499881.0,827872.0
Australia,2020-05-11,106.0,69.44,99.0,25499881.0,1042126.0
Australia,2020-05-18,60.0,67.13,102.0,25499881.0,1224795.0
Australia,2020-05-25,88.0,65.28,103.0,25499881.0,1454568.0
Australia,2020-06-01,63.0,62.04,102.0,25499881.0,1617462.0
Australia,2020-06-08,70.0,62.04,102.0,25499881.0,1812353.0
Australia,2020-06-15,139.0,50.46,102.0,25499881.0,2041324.0
Australia,2020-06-22,290.0,52.31,104.0,25499881.0,2379175.0
Australia,2020-06-29,819.0,68.98,106.0,25499881.0,2713435.0
Australia,2020-07-06,1397.0,75.46,108.0,25499881.0,3075488.0
Australia,2020-07-13,2089.0,71.76,123.0,25499881.0,3476463.0
Australia,2020-07-20,2866.0,68.06,161.0,25499881.0,3935124.0
Australia,2020-07-27,3383.0,71.76,221.0,25499881.0,4346382.0
Australia,2020-08-03,3079.0,75.46,313.0,25499881.0,4857414.0
Australia,2020-08-10,2161.0,75.46,421.0,25499881.0,5297558.0
Australia,2020-08-17,1357.0,75.46,517.0,25499881.0,5706587.0
Australia,2020-08-24,831.0,75.46,652.0,25499881.0,6168229.0
Australia,2020-08-31,575.0,75.46,762.0,25499881.0,6657348.0
Australia,2020-09-07,371.0,75.46,816.0,25499881.0,7016090.0
Australia,2020-09-14,220.0,75.46,851.0,25499881.0,7296252.0
Australia,2020-09-21,132.0,75.46,875.0,25499881.0,7546223.0
Australia,2020-09-28,104.0,68.06,894.0,25499881.0,7679651.0
Australia,2020-10-05,137.0,68.06,898.0,25499881.0,8008111.0
Australia,2020-10-12,114.0,68.06,905.0,25499881.0,8276036.0
Australia,2020-10-19,126.0,68.06,905.0,25499881.0,8535842.0
Australia,2020-10-26,76.0,68.06,907.0,25499881.0,8825186.0
Australia,2020-11-02,64.0,55.09,907.0,25499881.0,9097814.0
Australia,2020-11-09,84.0,55.09,907.0,25499881.0,9379339.0
Australia,2020-11-16,85.0,55.09,907.0,25499881.0,9709190.0
Australia,2020-11-23,68.0,50.0,908.0,25499881.0,9972019.0
Australia,2020-11-30,70.0,62.5,908.0,25499881.0,10181797.0
Australia,2020-12-07,65.0,62.5,908.0,25499881.0,10376952.0
Australia,2020-12-14,161.0,70.83,908.0,25499881.0,10579410.0
Australia,2020-12-21,139.0,70.83,909.0,25499881.0,11095166.0
Australia,2020-12-28,167.0,70.83,909.0,25499881.0,11428730.0
Australia,2021-01-04,110.0,70.83,909.0,25499881.0,12001728.0
Australia,2021-01-11,107.0,55.09,909.0,25499881.0,12405954.0
Australia,2021-01-18,56.0,55.09,909.0,25499881.0,12681350.0
